id_manufacturer,cocoa_percent,ingredients,review_date,rating
115,80%,"2- B,S",2015,2.5
115,65%,"2- B,S",2015,2.75
115,74%,"2- B,S",2019,3
114,70%,"2- B,S",2011,3.75
114,68%,"2- B,S",2011,3.75
116,90%,"2- B,S*",2016,2.5
116,80%,"2- B,S*",2016,2.5
117,70%,"2- B,S",2016,2.5
117,70%,"2- B,S",2016,2.75
117,80%,"2- B,S",2016,2.75
117,60%,"2- B,S",2016,3
117,75%,"2- B,S",2016,3
117,80%,"2- B,S",2016,3
117,70%,"2- B,S",2016,3.25
118,74%,"3- B,S*,C",2014,2.75
119,75%,"3- B,S,C",2015,3.25
119,68%,"3- B,S,C",2015,3.5
119,80%,"3- B,S,C",2015,3.75
120,82%,"3- B,S,C",2012,2.5
120,68%,"3- B,S,C",2012,2.75
120,72%,"3- B,S,C",2012,3.25
120,70%,"2- B,S",2013,3.75
120,69%,"3- B,S,C",2015,3.75
120,80%,"2- B,S",2015,3.75
120,70%,"3- B,S,C",2021,2.75
121,72%,"3- B,S,C",2018,3.25
122,70%,"3- B,S,C",2019,3
123,70%,"4- B,S,C,V",2014,2.5
124,63%,"3- B,S,C",2018,2.5
124,76%,"2- B,S",2018,2.75
124,70%,"2- B,S",2018,2.75
125,77%,NA,2015,3
126,65%,NA,2011,3.25
126,75%,"3- B,S,C",2016,3.25
127,70%,"2- B,S",2021,3.25
127,73%,"2- B,S",2021,3.25
127,70%,"2- B,S",2021,3.5
128,71%,"4- B,S,C,L",2007,2.5
128,71%,"4- B,S,C,L",2007,2.5
128,70%,"4- B,S,C,L",2007,3
128,71%,"4- B,S,C,L",2008,3.5
128,60%,"4- B,S,C,L",2009,3.25
128,75%,"4- B,S,C,L",2009,3.25
128,71%,"4- B,S,C,L",2010,3.25
128,71%,"4- B,S,C,L",2010,3.5
129,65%,"2- B,S",2015,2.5
129,75%,"2- B,S",2015,2.5
130,80%,"4- B,S,C,V",2009,2.5
130,70%,"4- B,S,C,V",2009,2.75
130,70%,"4- B,S,C,V",2009,3
130,80%,"4- B,S,C,V",2009,3
130,70%,"4- B,S,C,V",2009,3
131,70%,"2- B,S",2020,3.5
131,75%,"2- B,S",2020,3.75
131,70%,"2- B,S",2020,3.75
131,67%,"2- B,S",2020,4
131,75%,"2- B,S",2021,3.5
131,75%,"2- B,S",2021,3.75
132,42%,"4- B,S,V,L",2013,2.75
133,70%,"2- B,S",2018,2.75
134,75%,"3- B,S,C",2018,3.75
134,72%,"3- B,S,C",2019,3
134,70%,"3- B,S,C",2019,3.25
134,73%,"3- B,S,C",2019,3.5
134,72%,"3- B,S,C",2019,3.5
134,72%,"3- B,S,C",2019,3.75
134,70%,"3- B,S,C",2019,4
135,68%,NA,2011,3.75
136,61%,"5- B,S,C,V,L",2009,3
137,77%,"3- B,S,C",2010,2.75
138,100%,NA,2008,1
138,80%,"3- B,S,C",2008,3
138,75%,"3- B,S,C",2008,3.75
138,73.5%,"2- B,S",2010,3.75
139,70%,"3- B,S,C",2021,3.5
139,79%,"3- B,S,C",2021,3.5
140,73%,"2- B,S",2015,3.5
141,70%,"3- B,S,C",2020,3.5
142,70%,"4- B,S,C,V",2019,2.25
143,68%,"3- B,S,C",2021,3
143,77%,"2- B,S",2021,3.25
143,70%,"3- B,S,C",2021,3.25
144,80%,NA,2008,2.75
144,88%,NA,2008,2.75
144,72%,NA,2008,3.25
144,70%,NA,2008,3.75
144,70%,NA,2010,3.25
145,76%,"2- B,S",2015,3.5
146,78%,"2- B,S",2016,2.75
147,70%,"3- B,S,C",2021,2.5
147,70%,"3- B,S,C",2021,2.5
147,68%,"3- B,S,C",2021,3.25
147,75%,"3- B,S,C",2021,3.5
148,72%,"3- B,S,C",2007,3
148,72%,"3- B,S,C",2008,3
148,72%,"3- B,S,C",2008,3
148,72%,"3- B,S,C",2009,3
148,62%,"3- B,S,C",2009,3.25
148,70%,"3- B,S,C",2009,3.5
148,70%,"3- B,S,C",2009,3.75
148,72%,"3- B,S,C",2010,2.5
148,70%,"3- B,S,C",2010,3
148,72%,"3- B,S,C",2010,3
148,72%,"3- B,S,C",2010,3.25
148,72%,"3- B,S,C",2010,3.25
148,72%,"3- B,S,C",2010,3.25
148,100%,NA,2012,1.5
148,85%,"3- B,S,C",2012,3.5
148,70%,"3- B,S,C",2012,3.5
148,72%,"3- B,S,C",2012,3.75
148,65%,"4- B,S,C,L",2013,3.25
148,75%,"3- B,S,C",2017,3.75
149,70%,NA,2006,1
150,75%,"3- B,S,C",2012,3.25
150,65%,"3- B,S,C",2012,3.25
150,67%,"3- B,S,C",2012,3.25
150,64%,"3- B,S,C",2012,3.25
150,75%,"3- B,S,C",2012,3.5
150,70%,"3- B,S,C",2014,2.5
150,83%,"3- B,S,C",2014,2.75
151,85%,"3- B,S,C",2016,3.25
151,73%,"3- B,S,C",2016,3.75
152,70%,"2- B,S",2020,3.25
152,70%,"2- B,S",2020,3.25
152,70%,"2- B,S",2020,3.25
152,70%,"2- B,S",2020,3.5
152,70%,"2- B,S",2021,3.75
153,70%,"3- B,S,C",2020,3.25
153,70%,"3- B,S,C",2020,3.5
153,75%,"3- B,S,C",2020,3.5
153,70%,"3- B,S,C",2020,3.5
154,73%,"2- B,S",2021,3.75
155,70%,"5- B,S,C,V,L",2011,3.25
155,70%,"3- B,S,C",2015,2.75
156,72%,"2- B,S",2017,2.75
157,70%,"3- B,S,C",2015,2.25
157,70%,"3- B,S,C",2015,2.75
157,70%,"3- B,S,C",2015,3
157,70%,"3- B,S,C",2015,3.5
157,65%,"4- B,S,C,L",2018,2.5
158,68%,"4- B,S,C,L",2021,2.5
158,72%,"4- B,S,C,L",2021,3
158,72%,"4- B,S,C,L",2021,3.5
159,70%,"2- B,S",2012,3
159,70%,"2- B,S",2012,3.25
159,70%,"2- B,S",2012,3.75
159,70%,"2- B,S",2013,2.75
159,70%,"2- B,S",2013,3.25
159,70%,"2- B,S",2013,3.5
159,70%,"2- B,S",2013,3.5
159,70%,"2- B,S",2014,2.75
159,70%,"2- B,S",2014,3.5
159,70%,"2- B,S",2014,3.5
159,70%,"2- B,S",2014,3.75
159,70%,"2- B,S",2015,3
159,70%,"2- B,S",2016,3.75
159,70%,"2- B,S",2017,3
159,70%,"2- B,S",2018,3
159,70%,"2- B,S",2018,3.25
159,70%,"2- B,S",2018,3.5
159,70%,"2- B,S",2019,3.5
159,70%,"2- B,S",2021,2.75
159,70%,"2- B,S",2021,2.75
159,70%,"2- B,S",2021,3.25
159,70%,"2- B,S",2021,3.25
159,70%,"2- B,S",2021,3.5
159,70%,"2- B,S",2021,3.5
